City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tubuala,9.5167,-79.0333,298.84,81,20,3.31,PA,1673155729
1,tongchuan,35.0806,109.0897,285.43,18,0,1.05,CN,1673155527
2,tupik,54.4253,119.9327,251.8,91,93,0.58,RU,1673155731
3,hermanus,-34.4187,19.2345,293.04,79,4,4.7,ZA,1673155724
4,jeremie,18.65,-74.1167,296.94,78,0,1.95,HT,1673155736
5,butaritari,3.0707,172.7902,299.98,82,26,5.74,KI,1673155736
6,saint george,37.1041,-113.5841,282.28,64,0,2.57,US,1673155301
7,cape town,-33.9258,18.4232,293.77,73,0,2.57,ZA,1673155738
8,torbay,47.6666,-52.7314,272.36,88,75,2.24,CA,1673155738
9,kabalo,-6.05,26.9167,293.0,97,100,0.47,CD,1673155477
10,novikovo,51.1537,37.8879,256.22,91,6,1.0,RU,1673155740
11,bluff,-46.6,168.3333,291.65,61,0,10.27,NZ,1673155714
12,bredasdorp,-34.5322,20.0403,291.73,82,5,3.09,ZA,1673155741
13,paamiut,61.994,-49.6678,269.68,95,100,3.05,GL,1673155742
14,fukue,32.6881,128.8419,287.35,44,0,3.6,JP,1673155236
15,longyearbyen,78.2186,15.6401,269.06,74,40,4.12,SJ,1673155612
16,berlevag,70.8578,29.0864,263.15,81,34,10.05,NO,1673155536
17,saint-georges,12.0564,-61.7485,298.18,82,99,6.77,GD,1673155744
18,rikitea,-23.1203,-134.9692,298.84,72,1,6.48,PF,1673155491
19,nhulunbuy,-12.2333,136.7667,302.49,79,75,4.12,AU,1673155745
20,mataura,-46.1927,168.8643,297.31,36,0,3.85,NZ,1673155737
21,busselton,-33.65,115.3333,299.5,42,1,5.31,AU,1673155730
22,vao,-22.6667,167.4833,300.04,85,100,15.48,NC,1673155749
23,tiksi,71.6872,128.8694,231.9,100,74,1.19,RU,1673155577
24,mahebourg,-20.4081,57.7,301.31,69,75,5.14,MU,1673155594
25,ushuaia,-54.8,-68.3,283.96,71,20,2.06,AR,1673155691
26,price,39.5994,-110.8107,272.74,80,100,0.0,US,1673155753
27,tasiilaq,65.6145,-37.6368,264.24,57,17,4.82,GL,1673155550
28,contamana,-7.3333,-75.0167,294.96,83,69,1.01,PE,1673155754
29,yeppoon,-23.1333,150.7333,304.03,65,12,4.72,AU,1673155209
30,yellowknife,62.456,-114.3525,249.95,100,97,1.98,CA,1673155722
31,usinsk,65.9939,57.5281,237.11,97,6,3.44,RU,1673155756
